n_secs,dim,filename,loca_type,data_split
20001,70,1.0inch-#2000_csv_Run-946.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1300.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-785.parquet,1.5inch,train
18463,70,1.5inch-#2000_csv_Run-540.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-283.parquet,1.5inch,train
18582,70,1.5inch-#2000_csv_Run-1705.parquet,1.5inch,val
20001,70,1.0inch-#2000_csv_Run-971.parquet,1.0inch,test
20001,70,1.0inch-#2000_csv_Run-176.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1446.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-731.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-244.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-1855.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-1889.parquet,1.5inch,val
20001,70,1.5inch-#2000_csv_Run-1358.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-617.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-793.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1873.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-086.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-152.parquet,0.5inch,test
20001,70,1.5inch-#2000_csv_Run-1333.parquet,1.5inch,test
20001,70,1.5inch-#2000_csv_Run-185.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-545.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1288.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1280.parquet,1.0inch,test
15128,70,1.5inch-#2000_csv_Run-1565.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-532.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-783.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-137.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-1879.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-436.parquet,1.5inch,test
20001,70,1.5inch-#2000_csv_Run-917.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-719.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1181.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1228.parquet,0.5inch,test
20001,70,1.0inch-#2000_csv_Run-736.parquet,1.0inch,train
17829,70,1.5inch-#2000_csv_Run-1288.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1331.parquet,1.0inch,test
20001,70,0.5inch-#2000_csv_Run-1569.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1920.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-245.parquet,0.5inch,test
20001,70,0.5inch-#2000_csv_Run-1386.parquet,0.5inch,train
18293,70,1.5inch-#2000_csv_Run-629.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1048.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-590.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-810.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-312.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-234.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-674.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-746.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-906.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1547.parquet,0.5inch,test
20001,70,1.0inch-#2000_csv_Run-1740.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1449.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-747.parquet,1.5inch,train
